基本電費,超約罰金,線路補助費,總電費,更換契約週期(月),經常契約,半尖峰契約,週六半尖峰契約,離峰契約,更換對應契約週期(月),月份,經常最大負載量,半尖峰最大負載量,週六半最大負載量,離峰最大負載量,過去契約,經常契約,半尖峰契約,週六半尖峰,離峰契約,公司設定,1,2,3,4
775900,77891,0,853791,12.0,348.0,0.0,86.0,1.0,12,1.0,0.0,370.0,316.0,349.0,1.0,240.0,0.0,30.0,0.0,1.0,360.0,0.0,30.0,0.0
781805,72945,659,855409,6.0,352.0,0.0,66.0,0.0,6,2.0,0.0,314.0,246.0,392.0,2.0,240.0,0.0,30.0,0.0,2.0,360.0,0.0,30.0,0.0
804328,61070,4874,870272,4.0,349.0,1.0,81.0,0.0,6,3.0,0.0,344.0,374.0,416.0,3.0,240.0,0.0,30.0,0.0,3.0,360.0,0.0,30.0,0.0
759399,99046,555,859000,3.0,360.0,1.0,39.0,1.0,4,4.0,0.0,302.0,286.0,385.0,4.0,240.0,0.0,30.0,0.0,4.0,330.0,0.0,100.0,0.0
779201,96866,4020.4,880087.4,2.0,361.0,1.0,32.0,0.0,4,5.0,0.0,408.0,378.0,441.0,5.0,240.0,0.0,30.0,0.0,5.0,330.0,0.0,100.0,0.0
797914,111380,83146.94,992440.94,1.0,360.0,0.0,40.0,1.0,4,6.0,308.0,398.0,359.0,438.0,6.0,240.0,0.0,30.0,0.0,6.0,330.0,0.0,100.0,0.0
,,,,,344.0,1.0,77.0,0.0,3,7.0,376.0,280.0,284.0,436.0,7.0,240.0,0.0,30.0,0.0,7.0,330.0,0.0,100.0,0.0
,,,,,340.0,1.0,65.0,0.0,3,8.0,277.0,354.0,280.0,431.0,8.0,240.0,0.0,30.0,0.0,8.0,330.0,0.0,100.0,0.0
,,,,,340.0,1.0,69.0,1.0,3,9.0,405.0,308.0,302.0,430.0,9.0,240.0,0.0,30.0,0.0,9.0,330.0,0.0,100.0,0.0
,,,,,337.0,0.0,69.0,0.0,3,10.0,0.0,332.0,291.0,435.0,10.0,240.0,0.0,30.0,0.0,10.0,330.0,0.0,100.0,0.0
,,,,,365.0,1.0,0.0,1.0,2,11.0,0.0,358.0,355.0,438.0,11.0,240.0,0.0,30.0,0.0,11.0,315.0,0.0,175.0,0.0
,,,,,354.0,0.0,0.0,1.0,2,12.0,0.0,310.0,289.0,306.0,12.0,240.0,0.0,30.0,0.0,12.0,315.0,0.0,175.0,0.0
,,,,,354.0,1.0,39.0,0.0,2,,,,,,13.0,240.0,0.0,30.0,0.0,,,,,
,,,,,347.0,0.0,77.0,1.0,2,,,,,,14.0,240.0,0.0,30.0,0.0,,,,,
,,,,,361.0,1.0,0.0,1.0,2,,,,,,15.0,240.0,0.0,30.0,0.0,,,,,
,,,,,312.0,0.0,2.0,1.0,2,,,,,,16.0,240.0,0.0,30.0,0.0,,,,,
,,,,,389.0,0.0,0.0,0.0,1,,,,,,17.0,240.0,0.0,30.0,0.0,,,,,
,,,,,310.0,1.0,260.0,1.0,1,,,,,,18.0,240.0,0.0,30.0,0.0,,,,,
,,,,,369.0,1.0,95.0,0.0,1,,,,,,19.0,240.0,0.0,30.0,0.0,,,,,
,,,,,390.0,0.0,26.0,0.0,1,,,,,,20.0,240.0,0.0,30.0,0.0,,,,,
,,,,,335.0,0.0,127.0,0.0,1,,,,,,21.0,240.0,0.0,30.0,0.0,,,,,
,,,,,395.0,1.0,1.0,1.0,1,,,,,,22.0,360.0,0.0,30.0,0.0,,,,,
,,,,,395.0,0.0,0.0,1.0,1,,,,,,23.0,360.0,0.0,30.0,0.0,,,,,
,,,,,376.0,1.0,40.0,1.0,1,,,,,,24.0,360.0,0.0,30.0,0.0,,,,,
,,,,,323.0,1.0,164.0,0.0,1,,,,,,,,,,,,,,,
,,,,,329.0,0.0,165.0,1.0,1,,,,,,,,,,,,,,,
,,,,,303.0,0.0,192.0,0.0,1,,,,,,,,,,,,,,,
,,,,,319.0,1.0,205.0,0.0,1,,,,,,,,,,,,,,,
